,Scientific.Discipline,Title,First.Name,Middle.Name,Last.Name,Suffix,Citation,Full.Name,,Wiki.page,Gender,Page.Year,page.creator (partial data)
407,Neuroscience,Prof.,Mark,S.,Blumberg,,"For seminal contributions to the field of behavioral neuroscience, particularly to our understanding of the behavioral, neurophysiological, and functional characteristics of sleep across early development.",Mark Blumberg,,TRUE,m,2020,
408,Chemistry  ,Prof.,Renée,S.,Cole,,For distinguished contributions to advancing the discipline of chemistry through research on the design of instructional materials and teaching strategies and propagation of evidenced-based practice.,Renée Cole,,FALSE,f,,
409,Atmospheric & Hydrospheric Sciences,Prof.,Witold,F. ,Krajewski,,"For major scientific advances in hydrometeorology, flood prediction, and water resources.",Witold Krajewski,,FALSE,m,,
410,Psychology,Prof.,Susan,Kerri,Lutgendorf,,For distinguished contributions to the field of behavioral science of cancer.,Susan Lutgendorf,,FALSE,f,,
411,Pharmaceutical Sciences,Prof.,Aliasger,K.,Salem,,"For distinguished contributions to the field of regenerative medicine, novel drug and gene delivery systems, and on the development of vaccines that stimulate potent antigen-specific immune responses",Aliasger Salem,,TRUE,m,2015,
412,Statistics,Dr.,Luke,,Tierney,,For groundbreaking contributions to theory and methods in support of Bayesian statistics and for foundational and sustained developments in statistical computing.,Luke Tierney,,TRUE,m,2021,
413,Psychology,Prof.,Edward,A.,Wasserman,,"For distinguished contributions to the field of learning and cognition, particularly for analytic experiments that reveal the commonality and differences in cognitive capacities of human and non-human species.",Edward Wasserman,,TRUE,m,2015,
414,Biological Sciences,Prof.,Sharon,A.,Billings,,"For distinguished and innovative contributions to the fields of soil biogeochemistry, soil microbiology, and ecology to study the impacts of global change on soil processes.",Sharon Billings,,FALSE,f,,
415,Dentistry & Oral Health Sciences,Prof.,Anil,,Misra,,"For seminal contributions to granular micromechanics, pioneering works and innovations in theoretical and experimental mechanics, and ability to transcend basic and applied research for diverse material systems.",Anil Misra,,TRUE,m,2020,
416,Biological Sciences,Dr.,Yasuhiro,,Suzuki,,"Distinguished contributions to the field of host defense and immunity to microbial infections, particularly elucidating the molecular mechanisms of the protective immunity and translating the information to vaccine development.",Yasuhiro Suzuki,,FALSE,m,,
417,Biological Sciences,Prof.,Axel,,Meyer,,"For distinguished contributions to molecular systematics of vertebrates, the understanding of processes of speciation, the teleost-specific genome duplication and the role of gene and genome duplications in evolution.",Axel Meyer,,TRUE,m,2018,
418,"Agriculture, Food & Renewable Resources",Prof.,Niko,,Geldner,,"For distinguished contributions in the field of plant developmental biology, particularly in the area of plant root development, and for fostering and training young researchers in this area.",Niko Geldner,,TRUE,m,2021,
419,Medical Sciences,Prof.,Curt,I.,Civin,,"For pioneering discoveries in cancer and stem cell research with wide transformative clinical applications in hematopoietic stem cell transplantation, gene therapy and leukemia diagnosis.",Curt Civin,,FALSE,m,,
420,"Agriculture, Food & Renewable Resources",Dr.,William,Wesley,Bowerman,IV,For distinguished contributions in research and education to the conservation of eagle populations at the Great Lakes and for outstanding contributions to the global conservation of endangered avian species.,William Bowerman,,FALSE,m,,
421,Physics ,Prof.,Sarah,,Eno,,"For leadership and research in both detector and analysis development, enabling the discovery of the top quark and Higgs boson, and the search for new phenomena at high energy colliders.",Sarah Eno,,FALSE,f,,
422,Biological Sciences,Dr.,Leslie,,Pick,,"For distinguished contributions to the fields of evolutionary developmental biology (evo devo) and insect biology, particularly the role of Hox genes in embryogenesis and organismal diversification.",Leslie Pick,,FALSE,f,,
423,Biological Sciences,Dr.,Tricia,R. ,Serio,,"For distinguished contributions to the field of prion biology, particularly the cellular regulation of protein dynamics, and to diversity, equity and inclusion in STEM.",Tricia Serio,,FALSE,f,,
424,Chemistry  ,Prof.,Lynmarie,K.,Thompson,,"For pioneering contributions to interdisciplinary training, to understanding signaling mechanisms of membrane protein complexes, and to creative biophysical approaches for complex systems.",Lynmarie Thompson,,FALSE,f,,
425,Medical Sciences,Dr.,Lucio,H.,Castilla,,"For distinguished contributions to und.erstanding the mechanisms governing normal blood formation and leukemia development, and the pathways that can be used in novel therapy protocols",Lucio Castilla,,FALSE,m,,
426,Engineering,Prof.,Pratim,,Biswas,,"For pioneering contributions to aerosol science and engineering, specifically relating to fundamental understanding of particle formation, growth, transport and deposition in high temperature systems.",Pratim Biswas,,TRUE,m,2012,
427,Statistics,Prof.,Veerabhadran ,,Baladandayuthapani,,"For distinguished contributions to the field of biostatistics and data science, particularly for Bayesian modeling of high-dimensional biomedical data, integrative genomics and applied cancer research.",Veerabhadran  Baladandayuthapani,,FALSE,m,,
428,History & Philosophy of Science,Prof.,Gordon,,Belot,,For distinguished scholarship in the philosophy of physics and the philosophy of science.,Gordon Belot,,FALSE,m,,
429,Medical Sciences,Dr.,Charles,,Burant,,"For distinctive molecular and metabolomic research on insulin resistance, therapy for diabetes, and management of obesity combined with stimulation of physical activity.",Charles Burant,,FALSE,m,,
430,Physics ,Prof.,Henriette,,Elvang,,"For pioneering work in theoretical physics, including the structure of scattering amplitudes, general relativity in higher dimensions, quantum entanglement and holography.",Henriette Elvang,,TRUE,f,2018,(Jesswade)
431,Engineering,Prof.,Rachel,S.,Goldman,,"For distinguished contributions to research and education in materials physics, particularly for elucidating the role of local solute configurations on novel functionalities of semiconductor alloys.",Rachel Goldman,,TRUE,f,2021,
432,Biological Sciences,Dr.,Mats,,Ljungman,,For distinguished contributions to the field of computational medicine and bioinformations through scientific and leadership achievements through contributions and dedication to the RNA community of research.,Mats Ljungman,,FALSE,m,,
433,Medical Sciences,Dr.,George,A.,Mashour,,"For distinguished contributions to the fields of academic anesthesiology and neuroscience, particularly for studies across the translational spectrum identifying network-level mechanisms of how general anesthetics disrupt consciousness.",George Mashour,,TRUE,m,2021,HickoryOughtShirt
434,Medical Sciences,Dr.,Sofia,D.,Merajver,,"For landmark studies of mechanisms, novel therapies, and biomarkers, and management of patients with inflammatory breast cancers and women at increased risk for cancers in the United States and Africa.",Sofia Merajver,,FALSE,f,,
435,Medical Sciences,Dr.,David,Charles,Musch,,"For distinguished contributions to the field of clinical epidemiology, particularly by using innovative design principles and analytical techniques to provide evidence-based guidance for the prevention and treatment of ophthalmic disease.",David Musch,,FALSE,m,,
436,Biological Sciences,Prof.,Melanie,Diane,Ohi,,"For distinguished contributions to the field of structural biology, particularly structure/function discoveries about secretion systems of pathogenic bacteria, and for expanding access to cryo electron microscopy through education",Melanie Ohi,,FALSE,f,,
437,Medical Sciences,Dr.,Ling,,Qi,,For distinguished contributions to the field of medicine by producing new insights into disease pathogenesis and inflammation and physiological ER homeostasis.,Ling Qi,,FALSE,m,,
438,Psychology,Prof.,Patricia,Ann,Reuter-Lorenz,,"For distinguished contributions to the field of cognitive neuroscience, particularly for outstanding research on mechanisms of attention, memory, and aging and for dedicated service to the field.",Patricia Reuter-Lorenz,,FALSE,f,,
439,Chemistry  ,Dr.,Roseanne,J.,Sension,,For distinguished contributions in ultrafast chemistry and the visualization of chemical reaction dynamics.,Roseanne Sension,,FALSE,f,,
440,Neuroscience,Dr.,Susan,,Shore,,"For distinguished contributions to the field of sensory neuroscience, particularly in the roles and mechanisms brainstem circuitry for audition and mechanisms underlying tinnitus and hyperacusis.",Susan Shore,,FALSE,f,,
441,Medical Sciences,Dr.,Stephan,F.,Taylor,,For distinguished contributions in research for developing and improving treatments for psychiatric disorders.,Stephan Taylor,,FALSE,m,,
442,Biological Sciences,Prof.,Patricia,,Wittkopp,,"For outstanding contributions to the field of evolutionary genetics, including uncovering genetic and genomic changes responsible for phenotypic differences within and between species, and for exceptional teaching and mentoring.",Patricia Wittkopp,,FALSE,f,,
443,Neuroscience,Dr.,Bing,D.,Ye,,"For distinguished contributions to the field of developmental neuroscience, particularly for the molecular basis of the specification of axonal and dendritic morphology, and for their functional characteristics.",Bing Ye,,FALSE,m,,
444,Biological Sciences,Prof.,Patrick,D.,Schloss,,"For distinguished contributions to computational biology, particularly for development of computational programs for analysis of DNA sequence of mixed bacterial populations.",Patrick Schloss,,TRUE,m,2021,
445,Medical Sciences,Prof.,Katherine,R.,Spindler,,"For distinguished contributions to the field of viral pathogenesis and virus-host interactions and for outstanding contributions in mentoring, professional service, and scientific communication",Katherine Spindler,,FALSE,f,,
446,Medical Sciences,Dr.,John,J.,Voorhees,,"For extraordinary contributions to skin biology and dermatology, in particular psoriasis, the skin response to ultraviolet radiation, and skin aging, and an exemplary and sustained record of leadership in dermatology.",John Voorhees,,FALSE,m,,
447,"Social, Economic & Political Sciences",Dr.,Rachel,T.A.,Croson,,"For distinguished contributions to the field of social and behavioral economics, particularly with regard to the specialty of negotiation, and for exemplary leadership as a respected academic administrator.",Rachel Croson,,TRUE,f,2017,
448,History & Philosophy of Science,Prof.,Susan,D.,Jones,,"For distinguished contributions to the history of science, particularly for her work on the history of plague, disease ecology, and pandemics.",Susan Jones,,FALSE,f,,
449,Biological Sciences,Dr.,Gary,,Muehlbauer,,"For distinguished contributions to the field of plant genetics and genomics, particularly for identifying genes and genetic mechanisms underlying disease resistance and plant architecture and sequencing barley and wheat genomes.",Gary Muehlbauer,,FALSE,m,,
450,Biological Sciences,Prof.,Peter,,Tiffin,,For contributions to our understanding of plant rhizobial mutualisms.,Peter Tiffin,,FALSE,m,,
451,Biological Sciences,Prof.,George,,Weiblen,,For contributions to our understanding of tropical forest diversity and the biology behind marijuana.,George Weiblen,,FALSE,m,,
452,Societal Impacts of Science & Engineering,Dr.,Susan,D. ,Renoe,,"For her distinguished contributions and commitment to strengthening the societal impacts of science and engineering by building capacity, advancing scholarship, growing partnerships across multiple institutions, and promoting effective public engagement.",Susan Renoe,,FALSE,f,,
453,Medical Sciences,Prof.,Cheryl,S.,Rosenfeld,,"For distinguished contributions to the fields of reproductive biology and endocrine disruption, and specifically for insights into the links between nutrition, placental pathologies and offspring phenotype, especially brain development.",Cheryl Rosenfeld,,FALSE,f,,
454,Biological Sciences,Dr.,Lee-Ann,H.,Allen,,"For outstanding contributions to our understanding of innate immunity, focusing on neutrophils and macrophages and the ability of bacterial pathogens to manipulate the functions of these cells to cause disease.",Lee-Ann Allen,,FALSE,f,,
455,"Social, Economic & Political Sciences",Dr.,Julia,,McQuillan,,"For distinguished contributions to the study of social inequality, particularly the areas of infertility, public understanding of science, removing inequalities in STEM fields, and communicating science to a wide-ranging public.",Julia McQuillan,,FALSE,f,,
456,Mathematics,Dr.,Judy,Leavitt,Walker,,"For distinguished contributions to algebraic coding theory, and substantial and lasting achievements in advancing educational and career opportunities for women in mathematics.",Judy Walker,,TRUE,f,2014,David Eppstein
457,Chemistry  ,Prof.,Hua,,Guo,,"For distinguished contributions to the field of computational and theoretical chemistry, particularly for theoretical modeling and predictions of chemical reaction dynamics.",Hua Guo,,FALSE,m,,
458,Anthropology ,Dr.,Wirt,H.,Wills,,"For distinguished contributions to the field of archaeology, especially furthering knowledge about the evolution of Southwestern Indigenous societies and human land use in an arid environment.",Wirt Wills,,FALSE,m,,
459,Physics ,Prof.,Paul,,Curmi,,"For important contributions to the understanding of protein structure, function, and dynamics, and to the understanding of intracellular patterns.",Paul Curmi,,FALSE,m,,
460,Engineering,Prof.,Kourosh,,Kalantar-Zadeh,,"For seminal contributions to the fields of sensors, electronics and analytical chemistry, especially for innovations with two-dimensional semiconductors, ingestible sensors and liquid metals.",Kourosh Kalantar-Zadeh,,FALSE,m,,
461,Biological Sciences,Prof.,Amy,S.,Gladfelter,,"For distinguished contributions to the field of cell biology, particularly in the areas of phase-separated condensates and the biophysics of the septin cytoskeleton.",Amy Gladfelter,,TRUE,f,2015,
462,Medical Sciences,Dr.,David,,Margolis,,"For distinguished contributions to the field of virology, particularly for making key discoveries on the mechanisms of HIV latency and devising new strategies to find a cure for HIV infection.",David Margolis,,FALSE,m,,
463,Pharmaceutical Sciences,Prof.,Stephen,V.,Frye,,For distinguished and extraordinary contributions to the field of drug discovery.,Stephen Frye,,FALSE,m,,
464,Pharmaceutical Sciences,Prof.,Alexander,Victorovich,Kabanov,,"For distinguished contributions to the field of nanomedicine and drug delivery particularly using polymeric micelles, polycation complexes, macrophages and exosomes for cancer and neurological disease therapy.",Alexander Kabanov,,FALSE,m,,
465,Chemistry  ,Dr.,Mark,R.,Hoffmann,,"For distinguished contributions to the field of computational and theoretical chemistry, particularly for the development and chemical application of novel descriptions of molecular electronic structure methodologies.",Mark Hoffmann,,FALSE,m,,
466,Biological Sciences,Prof.,Patricia,L.,Clark,,"For seminal contributions in characterizing the biology and biochemistry of unfolded proteins, and pioneering work in the consequences of synonymous substitutions on fitness.",Patricia Clark,,FALSE,f,,
467,Psychology,Dr.,Darcia,,Narvaez,,"For distinguished contributions illuminating species-typical and species-atypical development in terms of well-being, morality, and sustainable wisdom.",Darcia Narvaez,,TRUE,f,2013,
468,Biological Sciences,Dr.,Michael,Eugene,Pfrender,,"For distinguished contributions to the field of ecological and environmental genomics, and in particular for work developing the genomics of Daphnia as a model evolutionary system. ",Michael Pfrender,,FALSE,m,,
469,Chemistry  ,Prof.,Priyabrata,,Mukherjee,,"For distinguished contributions to the field of nanomedicine, particularly for potential application of nanoparticles in cancer drug delivery.",Priyabrata Mukherjee,,FALSE,m,,
470,Medical Sciences,Dr.,Ann,H.,West,,For distinguished service in signal transduction research and development of structural biology in Oklahoma.,Ann West,,FALSE,f,,
471,Biological Sciences,Dr.,Brendan,James Marc,Bohannan,,"For distinguished contributions to the fields of microbiology and ecology, particularly for demonstrating that there are general ecological principles that apply to all of life, both large and small.",Brendan Bohannan,,TRUE,m,2020,
472,Anthropology ,Dr.,Jon,M.,Erlandson,,"For distinguished contributions to the field of archaeology, particularly for reconstructing the history and paleoecology of maritime societies and advancing the kelp highway hypothesis for the peopling of the Americas.",Jon Erlandson,,TRUE,m,2012,
473,Chemistry  ,Prof.,Michael,D.,Pluth,,"For distinguished contributions to the fields of bioorganic and bioinorganic chemistry, particularly for investigations into the delivery, detection, and molecular recognition of reactive sulfur species.",Michael Pluth,,TRUE,m,,
474,Anthropology ,Prof.,Lynn,,Stephen,,"For distinguished contributions to the fields of anthropology, Latinx and Latin American Studies, particularly for her theorizing and ethnography of Indigenous women, Indigenous migrants, transborder communities, migration, and social movements.",Lynn Stephen,,FALSE,f,,
475,Biological Sciences,Dr.,Jeremy,,Kerr,,"For distinguished contributions to the field of conservation biology, particularly in understanding species endemism, abundance and distribution in the context of climate and land use change.",Jeremy Kerr,,TRUE,m,2021,
476,Mathematics,Dr.,Philip,K. ,Maini,,"For distinguished research contributions to mathematical biology, and for outstanding service to the profession",Philip Maini,,TRUE,m,2013,
477,"Information, Computing & Communication",Dr.,Susan,,Davidson,,For outstanding research in databases and data science including data management and provenance.,Susan Davidson,,FALSE,f,,
478,Physics ,Prof.,Douglas,J.,Durian,,"For distinguished experimental contributions to soft matter physics, particularly for development and use of novel optical techniques to elucidate structure and dynamics in foams and granular materials.",Douglas Durian,,TRUE,m,2021,
479,General Interest in Science & Engineering,Dr.,Kathleen,Hall,Jamieson,,"For major contributions to developing and fostering the science of science communication, for extensive other communication scholarship, and for promoting factual discourse regarding public issues.",Kathleen Jamieson,,TRUE,f,2005,
480,Physics ,Prof.,I.,Joseph,Kroll,,"For distinguished contributions to elementary particle physics, especially the measurement of Bs oscillations, discovery of the Higgs boson via its decay to WW bosons, and searches for supersymmetric particles.",I. Kroll,,TRUE,m,,
481,Statistics,Prof.,Mingyao,,Li,,"For distinguished contributions to statistical genetics and genomics methodology, particularly using single cell genomics to study genetics of cardiovascular disease and age-related macular degeneration.",Mingyao Li,,FALSE,f,,
482,Neuroscience,Dr.,Hongjun,,Song,,"For distinguished contributions to the fields of neural development and neuro-epigenetics/neuro-epitranscriptomics, particular using patient-derived stem cells to study brain disorders, including Zika virus.",Hongjun Song,,FALSE,m,,
483,"Social, Economic & Political Sciences",Prof.,Duncan,,Watts,,"For cutting edge contributions to mathematical sociology, highlighted by innovative theoretical and empirical work on the relationship structure of social networks",Duncan Watts,,TRUE,m,2002,
484,Medical Sciences,Dr.,E. John,,Wherry III,,"For distinguished contributions to the fields of T cell exhaustion, immunotherapy, T cell memory, viral immunity, immune oncology and immune health.",E. John Wherry III,,TRUE,m,2020,
485,Biological Sciences,Dr.,Sara,,Cherry,,For distinguished contributions to the field of virology and the development of novel technologies used to identify new pathways in and treatment of virus-induced diseases.,Sara Cherry,,TRUE,f,2020,(Jesswade)
486,Chemistry  ,Prof.,Kay,M.,Brummond,,For distinguished contributions in organic chemistry by regulating divergent chemical reactivity of cycloaddition reactions informed by a deep mechanistic understanding.,Kay Brummond,,TRUE,f,2021,(Jesswade)
487,Medical Sciences,Dr.,Sarah,L.,Gaffen,,"For distinguished contributions to the field of mucosal immunology, particularly for uncovering the critically important influence of interleukin-17 and its sources in host defenses to fungal pathogens.",Sarah Gaffen,,FALSE,f,,
488,Chemistry  ,Prof.,Steven,,Little,,For remarkable service to charities that advance education in science in impoverished countries and leadership in science internationally.,Steven Little,,FALSE,m,,
489,Medical Sciences,Prof.,Jerry,,Vockley,,For distinguished contributions to the field of biochemical genetics of rare disease and for developing highly specific therapies to improve the clinical outcomes of affected patients.,Jerry Vockley,,FALSE,m,,
490,Physics ,Prof.,Nicholas,P.,Bigelow,,"For distinguished contributions to the field of quantum physics and quantum optics, particularly for experimental laser cooling and trapped atom physics, Bose-Einstein condensates and the quantum nature of atom-photon interactions.",Nicholas Bigelow,,FALSE,m,,
491,"Information, Computing & Communication ",Prof.,Michael,L.,Scott,,"For distinguished contributions to the field of parallel programming, particularly concurrent data structures and synchronization mechanisms, and to the teaching of programming languages.",Michael Scott,,TRUE,m,2006,
492,Atmospheric & Hydrospheric Sciences,Prof.,Jeffrey,,McDonnell,,"For pioneering achievements isotope hydrology, hillslope hydrology and hydrological theory.",Jeffrey McDonnell,,TRUE,m,2021,HickoryOughtShirt
493,Biological Sciences,Dr.,Alan,W.,Decho,,"For distinguished contributions to the field of microbiology, particularly the properties and control of biofilms in environmental and health settings.",Alan Decho,,FALSE,m,,
494,Anthropology ,Prof.,Sharon,N.,DeWitte,,"For distinguished contributions to the field of anthropology, particularly for revealing the influential role of sex, socioeconomic status, stress, and diet on mortality risk during the Black Death.",Sharon DeWitte,,FALSE,f,,
495,Geology & Geography,Prof.,Kirstin,,Dow,,"For distinguished contributions to the field of social environmental geography, particularly our understanding of climate impacts, public engagement and adaptation limits in social systems.",Kirstin Dow,,TRUE,f,2020,
496,Biological Sciences,Dr.,Berten,,Ely,III,"For distinguished contributions to genome evolution, particularly using bacteria and phage, for contributions to enhancing K-12 evolutionary science education, and for contributions to increasing diversity in biological sciences.",Berten Ely,,FALSE,m,,
497,Engineering,Prof.,Norma,,Alcantar,,"For seminal work in sustainable functional technologies to remove pollutants and purify drinking water, novel therapies for Alzheimer’s and cancer, ocean oil spill clean-up methodologies, and advances in aquaculture systems.",Norma Alcantar,,FALSE,f,,
498,Engineering,Prof.,Delcie,Rena,Durham,,For seminal contributions to sustainability and green engineering with an emphasis on product realization through lifecycle analysis and thermodynamic principles of power and exergy for energy conversion and storage devices.,Delcie Durham,,FALSE,f,,
499,Biological Sciences,Dr.,Valerie,J.,Harwood,,"For distinguished contributions to the field of biology, particularly for advances to microbial source tracking research and technologies, and demonstration of differential survival of E. coli strains in the environment.",Valerie Harwood,,FALSE,f,,
500,Medical Sciences,Dr.,Richard,,Heller,,"For distinguished contributions to medical engineering, particularly in drug and gene delivery, developing delivery systems and protocols for in vivo non-viral gene transfer and advancing cancer immunogene therapy.",Richard Heller,,FALSE,m,,
501,Atmospheric & Hydrospheric Sciences,Dr.,Chuanmin,,Hu,,"For distinguished contributions to the field of marine science, particularly for the discovery of the Atlantic Sargassum belt and pioneering research in remote sensing algorithms, data products, and applications.",Chuanmin Hu,,FALSE,m,,
502,Chemistry  ,Dr.,Randy,W.,Larsen,,"For distinguished contributions to the field of physical and biophysical chemistry, particularly for the advancement of time resolved thermodynamics of biomolecules and porous material photophysics.",Randy Larsen,,FALSE,m,,
503,Geology & Geography,Dr.,Stephen,R.,McNutt,,"For distinguished contributions to the field of volcano seismology, particularly volcanic hazards assessments, triggering effects of tides and sea-level, and development of databases on volcanic earthquake swarms and volcanic tremor.",Stephen McNutt,,FALSE,m,,
504,Pharmaceutical Sciences,Dr.,Yashwant,V.,Pathak,,"For distinguished contributions to the field of pharmacy, particularly for developments in nanotechnology and drug delivery systems, especially in treating cancers and age-related macular degeneration.",Yashwant Pathak,,FALSE,m,,
505,Education,Dr.,Ruthmae,,Sears,,"For distinguished contributions to social justice, diversity, equity and inclusion efforts at both national and community levels, and for contributions to mathematics education.",Ruthmae Sears,,FALSE,f,,
506,Psychology,Dr.,Marilyn,,Stern,,"For distinguished contributions to the field of psychology, particularly for development of parent-involved interventions for obese children and adolescents, pediatric cancer survivors, and at-risk youth.",Marilyn Stern,,FALSE,f,,
507,General Interest in Science & Engineering,Dr.,Andrea,M.,Armani,,"For original, high-impact contributions to nanomaterial design and integrated photonics, for research mentorship of students at various levels, and for contributions to science outreach",Andrea Armani,,TRUE,f,2018,(Jesswade)
508,Medical Sciences,Dr.,Mark,S.,Humayun,,"For distinguished contributions to ophthalmology and to engineering, particularly in the invention of devices that can restore sight to the nearly blind",Mark Humayun,,TRUE,m,2016,
509,Engineering,Prof.,Yannis,,Yortsos,,"For leadership in engineering education and diversity initiatives, and research advances in fluid flow, transport and reactions in porous media.",Yannis Yortsos,,FALSE,m,,
510,Medical Sciences,Prof.,David,Edgar,Anderson,,"For distinguished contributions in resident and student mentoring, as well as advancements in biomedical research and technology, especially in surgical diseases and biomaterial composites for tissue regeneration and drug delivery.",David Anderson,,FALSE,m,,
511,"Agriculture, Food & Renewable Resources",Prof.,Brad ,,Day,,For distinguished contributions to the field of plant-pathogen interactions including groundbreaking studies on the role of the actin cytoskeleton in regulating plant immune responses.,Brad  Day,,FALSE,m,,
512,Geology & Geography,Prof.,Linda,Christine,Kah,,"For distinguished contributions in the field of planetary evolution, particularly for the exploration of Mesoproterozoic Earth and Neoachian Mars.",Linda Kah,,FALSE,f,,
513,"Agriculture, Food & Renewable Resources",Dr.,Carl,E.,Sams,,For distinguished contributions to the fields of horticulutural science and plant physiology.,Carl Sams,,FALSE,m,,
514,Physics ,Prof.,Hanno,,Weitering,,For outstanding contributions to the fundamental understanding of correlated phenomena at interfaces and in thin films and for distinguished academic leadership.,Hanno Weitering,,FALSE,m,,
515,Biological Sciences,Prof.,Steven,W.,Wilhelm,,For distinguished contributions to the field of virology and oceanography particularly for the role of viruses in oceanic nutrient cycling and the role of cyanobacteria in toxic algal blooms.,Steven Wilhelm,,FALSE,m,,
516,Pharmaceutical Sciences,Dr.,Jian-Ting,,Zhang,,For distinguished contributions to the field of cancer research and drug discovery that positively impact on patient outcome and for outstanding leadership in mentoring and community service.,Jian-Ting Zhang,,FALSE,m,,
517,Biological Sciences,Prof.,Dale,,Clayton,,"For outstanding work in co-evolution between birds and their parasites, particularly lice.",Dale Clayton,,TRUE,m,2008,
518,Biological Sciences,Prof.,M. ,Denise,Dearing,,"For distinguished contributions to the field of ecology, particularly in the area of nutritional ecology, and for outstanding and consequential performance in administration in academe",M.  Dearing,,FALSE,f,,
519,Biological Sciences,Prof.,Kelly,,Hughes,,For seminal and creative work on bacterial flagellar type III secretion and for uncovering principles of bacterial flagella assembly.,Kelly Hughes,,FALSE,f,,
520,Chemistry  ,Prof.,Ling,,Zang,,"For distinguished contributions to the research of molecular self-assembly and nanostructures, and development of optical and electrical chemical sensors for applications in public safety, health and environment.",Ling Zang,,FALSE,m,,
521,Biological Sciences,Dr.,Frances,Eileen,Carr,,"For distinguished contributions to the field of thyroid hormone biology and pathology, and for exemplary leadership positions in two universities and major contributions to science policy for U.S. government agencies.",Frances Carr,,FALSE,f,,
522,Biological Sciences,Prof.,Jeffrey,D.,Blume,,For distinguished research in biostatistics and applications in research impacting the guidelines for lung cancer screening in African Americans.,Jeffrey Blume,,FALSE,m,,
523,Biological Sciences,Dr.,Emily,,Carrington,,"For distinguished contributions to the field of of biomechanics and ecophysiology, particularly the role of climate change on shellfish, and for contributions to diversity and inclusion in science.",Emily Carrington,,FALSE,f,,
524,Chemistry  ,Prof.,Julia,A.,Kovacs,,For distinguished contributions to synthetic bioinorganic chemistry in defining the role of thiolate ligands in oxygen activation by metalloenzymes and their models.,Julia Kovacs,,FALSE,f,,
525,"Information, Computing & Communication ",Dr.,Richard,,Ladner,,For distinguished contributions to the inclusion of persons with disabilities in the computing fields.,Richard Ladner,,TRUE,m,2017,
526,Chemistry  ,Prof.,Stefan,,Stoll,,For distinguished contributions to advancing the discipline of chemistry through developing and disseminating novel techniques in electron paramagnetic resonance spectroscopy.,Stefan Stoll,,FALSE,m,,
527,Medical Sciences,Dr.,David,,Andes,,"For distinguished contributions to medical mycology through advances in defining antifungal resistance mechanisms, pharmacology, drug discovery and development, translational clinical trials, professional service, and life-saving patient care.",David Andes,,FALSE,m,,
528,Biological Sciences,Dr.,Stephen,Russell,Carpenter,,"For distinguished contributions to the field of ecosystems biology, particularly basic and applied understanding of lake ecosystems and the resilience of social-ecological systems.",Stephen Carpenter,,TRUE,m,2011,
529,Engineering,Prof.,Susan,,Hagness,,"For distinguished contributions to computational and experimental applied electromagnetics, with an emphasis on bioelectromagnetics and the development of diagnostic and therapeutic technologies for biomedical applications.",Susan Hagness,,TRUE,f,2020,HickoryOughtShirt
530,Societal Impacts of Science & Engineering,Dr.,Jerlando,F.L.,Jackson,,For distinguished contributions to research on organizational disparities in the STEM workforce and for development of successful interventions to increase participation of underrepresented groups in science and engineering.,Jerlando Jackson,,FALSE,m,,
531,"Information, Computing & Communication ",Prof.,Somesh,,Jha,,"For distinguished contributions to the fields of formal methods and information security, particularly adapting techniques from formal methods to devise rigorous approaches to information security.",Somesh Jha,,FALSE,m,,
532,"Agriculture, Food & Renewable Resources",Prof.,Shawn,M.,Kaeppler,,"For distinguished contributions to the field of crop genetics, with particular reference to understanding the genetic basis for maize grain quality, productivity, and stress tolerance",Shawn Kaeppler,,FALSE,m,,
533,General Interest in Science & Engineering,Dr.,Kevin,J.,Niemi,,"For extensive contributions to science outreach, public engagement in science, and science education in Wisconsin, nationally, and beyond.",Kevin Niemi,,FALSE,m,,
534,"Information, Computing & Communication ",Prof.,Jignesh,M.,Patel,,"For distinguished contributions to the field of database systems, particularly for high performance and scalable data processing methods.",Jignesh Patel,,FALSE,m,,
535,Chemistry  ,Prof.,Jennifer,Marie,Schomaker,,For distinguished contributions to organic chemistry through methods for catalyst- controlled C-H functionalization via nitrene transfer and complex amine synthesis employing unusual reactive intermediates.,Jennifer Schomaker,,TRUE,f,2021,(Jesswade)
536,Biological Sciences,Dr.,Monica,G.,Turner,,"For distinguished contributions to the field of ecology, particularly for the causes and consequences of spatial heterogeneity in landscapes and ecosystems.",Monica Turner,,TRUE,f,2011,
537,Astronomy,Dr.,Eric,M.,Wilcots,,"For a distinguished academic career, astronomical research in the area of galactic environments and evolution, and commitment to diversity and inclusion in the sciences.",Eric Wilcots,,FALSE,m,,
538,Chemistry  ,Prof.,Alexander,I.,Boldyrev,,For seminal contributions to the field of chemical bonding including multicenter bonding.,Alexander Boldyrev,,TRUE,m,2021,
539,Biological Sciences,Prof.,Brandt,F.,Eichman,,"For distinguished contributions to the field of structural cell biology, particularly for understanding the molecular and structural mechanisms of DNA replication and repair.",Brandt Eichman,,FALSE,m,,
540,Engineering,Prof.,Michael,R.,King,,"For distinguished contributions to the fields of biotransport phenomena, cellular mechanotransduction, and nanoparticle drug delivery, particularly to understand the behavior of blood and cancer cells in the circulation.",Michael King,,FALSE,m,,
541,Biological Sciences,Prof.,Jens,,Meiler,,For distinguished contributions to the development and widespread dissemination of methods for determining protein structure and de novo design and engineering of proteins.,Jens Meiler,,TRUE,m,2020,
